old_id,new_id,reason
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,28,dup
33,33,
34,34,
35,35,
36,36,
37,37,
38,14,dup
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,24,dup
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,
61,61,
62,27,dup
63,63,
64,64,
65,65,
66,66,
67,67,
68,68,
69,69,
70,70,
71,71,
72,72,
73,73,
74,74,
75,75,
76,76,
77,77,
78,78,
79,79,
80,80,
81,81,
82,82,
83,83,
84,84,
85,85,
86,86,
87,87,
88,88,
89,89,
90,15,dup
91,91,
92,92,
93,93,
94,94,
95,95,
96,96,
97,16,dup
98,78,dup
99,99,
100,100,
101,101,
102,102,
103,103,
104,71,dup
105,44,dup
106,106,
107,107,
108,108,
109,109,
110,61,dup
111,111,
112,112,
113,82,dup
114,9,dup
115,115,
116,116,
117,117,
118,118,
119,6,dup
120,120,
121,121,
122,122,
123,123,
124,112,dup
125,125,
126,126,
127,28,dup
128,128,
129,129,
130,130,
131,131,
132,132,
133,133,
134,134,
135,34,dup
136,136,
137,44,dup
138,138,
139,139,
140,140,
141,15,dup
142,142,
143,143,
144,144,
145,145,
146,64,dup
147,147,
148,148,
149,149,
150,150,
151,151,
152,152,
153,153,
154,154,
155,68,dup
156,28,dup
157,157,
158,158,
159,159,
160,160,
161,44,dup
162,162,
163,15,dup
164,164,
165,165,
166,125,dup
167,167,
168,168,
169,169,
170,170,
171,171,
172,172,
173,173,
174,61,dup
175,175,
176,176,
177,107,dup
178,16,dup
179,179,
180,180,
181,181,
182,182,
183,183,
184,184,
185,185,
186,186,
187,187,
188,188,
189,189,
190,143,dup
191,191,
192,128,dup
193,193,
194,194,
195,195,
196,196,
197,19,dup
198,18,dup
199,106,dup
200,200,
201,53,dup
202,172,dup
203,203,
204,204,
205,205,
206,206,
207,18,dup
208,208,
209,209,
210,108,dup
211,211,
212,212,
213,213,
214,152,dup
215,215,
216,216,
217,217,
218,218,
219,188,dup
220,220,
221,162,dup
222,222,
223,223,
224,224,
225,225,
226,140,dup
227,227,
228,109,dup
229,229,
230,230,
231,231,
232,232,
233,233,
234,158,dup
235,235,
236,236,
237,237,
238,238,
239,239,
240,239,dup
241,241,
242,242,
243,243,
244,244,
245,245,
246,246,
247,247,
248,248,
249,115,dup
250,250,
251,251,
252,252,
253,253,
254,254,
255,95,dup
256,130,dup
257,257,
258,258,
259,109,dup
260,260,
261,261,
262,262,
263,86,dup
264,264,
265,265,
266,73,dup
267,267,
268,58,dup
269,269,
270,270,
271,220,dup
272,272,
273,273,
274,109,dup
275,275,
276,180,dup
277,277,
278,251,dup
279,53,dup
280,280,
281,281,
282,282,
283,9,dup
284,284,
285,285,
286,286,
287,287,
288,181,dup
289,121,dup
290,290,
291,74,dup
292,292,
293,293,
294,6,dup
295,194,dup
296,296,
297,211,dup
298,292,dup
299,200,dup
300,65,dup
301,63,dup
302,302,
303,303,
304,304,
305,305,
306,306,
307,307,
308,308,
309,96,dup
310,1,dup
311,311,
312,312,
313,313,
314,314,
315,39,dup
316,30,dup
317,317,
318,318,
319,319,
320,73,dup
321,321,
322,322,
323,323,
324,27,dup
325,175,dup
326,71,dup
327,327,
328,328,
329,329,
330,143,dup
331,331,
332,239,dup
333,83,dup
334,8,dup
335,335,
336,336,
337,81,dup
338,43,dup
339,339,
340,340,
341,78,dup
342,342,
343,343,
344,231,dup
345,186,dup
346,346,
347,347,
348,55,dup
349,147,dup
350,350,
351,351,
352,144,dup
353,194,dup
354,61,dup
355,355,
356,356,
357,357,
358,41,dup
359,359,
360,360,
361,361,
362,193,dup
363,363,
364,84,dup
365,365,
366,171,dup
367,367,
368,368,
369,369,
370,370,
371,59,dup
372,160,dup
373,336,dup
374,220,dup
375,308,dup
376,18,dup
377,176,dup
378,378,
379,129,dup
380,13,dup
381,381,
382,118,dup
383,383,
384,384,
385,3,dup
386,238,dup
387,387,
388,388,
389,389,
390,203,dup
391,34,dup
392,387,dup
393,393,
394,394,
395,205,dup
396,396,
397,56,dup
398,93,dup
399,399,
400,109,dup
401,401,
402,402,
403,403,
404,404,
405,17,dup
